"No.","Time","Source","Destination","Protocol","Length","Info","New Column"
"1","0.000000","f4:0f:1b:7b:37:af","Broadcast","802.11","305","Beacon frame, SN=2040, FN=0, Flags=........C, BI=102, SSID=ClarksonUniversity, Name=""erc-lib2-ap3702""","-75 dBm"
"2","0.000008","f8:c2:88:df:55:bf","Broadcast","802.11","305","Beacon frame, SN=3896, FN=0, Flags=........C, BI=102, SSID=ClarksonUniversity, Name=""erc-atrium1-ap3""","-52 dBm"
"3","0.000014","fe80::4b2:b56d:ae97:a653","ff02::2","ICMPv6","118","Router Solicitation","-75 dBm"
"4","0.000018","fe80::4b2:b56d:ae97:a653","ff02::2","ICMPv6","118","Router Solicitation","-53 dBm"
"5","0.015131","Apple_d6:44:de (TA)","f8:c2:88:df:55:bf (RA)","802.11","46","Request-to-send, Flags=........C","-62 dBm"
"6","0.015137","","Apple_d6:44:de (RA)","802.11","40","Clear-to-send, Flags=........C","-53 dBm"
"7","0.015142","f8:c2:88:df:55:bf (TA)","Apple_d6:44:de (RA)","802.11","58","802.11 Block Ack, Flags=........C","-55 dBm"
"8","0.024429","f4:0f:1b:7b:37:ad","Broadcast","802.11","300","Beacon frame, SN=2042, FN=0, Flags=........C, BI=102, SSID=ClarksonGuest, Name=""erc-lib2-ap3702""","-75 dBm"
"9","0.024437","f8:c2:88:df:55:bd","Broadcast","802.11","300","Beacon frame, SN=3898, FN=0, Flags=........C, BI=102, SSID=ClarksonGuest, Name=""erc-atrium1-ap3""","-53 dBm"
"10","0.024442","fe80::4b2:b56d:ae97:a653","ff02::2","ICMPv6","118","Router Solicitation","-75 dBm"
"11","0.041871","","f8:c2:88:df:55:bf (RA)","802.11","40","Acknowledgement, Flags=........C","-63 dBm"
"12","0.042619","Apple_d6:44:de (TA)","f8:c2:88:df:55:bf (RA)","802.11","46","Request-to-send, Flags=........C","-63 dBm"
"13","0.042625","","Apple_d6:44:de (RA)","802.11","40","Clear-to-send, Flags=........C","-51 dBm"
"14","0.042630","f8:c2:88:df:55:bf (TA)","Apple_d6:44:de (RA)","802.11","58","802.11 Block Ack, Flags=........C","-55 dBm"
"15","0.045766","Apple_d6:44:de (TA)","f8:c2:88:df:55:bf (RA)","802.11","46","Request-to-send, Flags=........C","-62 dBm"
"16","0.045771","","Apple_d6:44:de (RA)","802.11","40","Clear-to-send, Flags=........C","-52 dBm"
"17","0.045774","Apple_d6:44:de (TA)","f8:c2:88:df:55:bf (RA)","802.11","46","Request-to-send, Flags=........C","-62 dBm"
"18","0.045778","","Apple_d6:44:de (RA)","802.11","40","Clear-to-send, Flags=........C","-52 dBm"
"19","0.045781","Apple_d6:44:de (TA)","f8:c2:88:df:55:bf (RA)","802.11","46","Request-to-send, Flags=........C","-63 dBm"
"20","0.045785","","Apple_d6:44:de (RA)","802.11","40","Clear-to-send, Flags=........C","-51 dBm"
"21","0.045788","Apple_d6:44:de (TA)","f8:c2:88:df:55:bf (RA)","802.11","46","Request-to-send, Flags=........C","-63 dBm"
